image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
foetus,nonlinear,median,5,constant,31463487700,./results/filter/foetus/median/5-constant-aBFZdZeb.png
foetus,nonlinear,median,7,constant,31823108900,./results/filter/foetus/median/7-constant-QoXIOzRj.png
foetus,nonlinear,median,9,constant,31467265900,./results/filter/foetus/median/9-constant-TlmBjkbi.png
foetus,nonlinear,median,11,constant,33173745800,./results/filter/foetus/median/11-constant-eAmevvXl.png
foetus,nonlinear,median,13,constant,32691659000,./results/filter/foetus/median/13-constant-ktqSdIjr.png
foetus,nonlinear,median,15,constant,31067771000,./results/filter/foetus/median/15-constant-RhoMilbA.png
foetus,nonlinear,adaptive_weighted_median,3,constant,108146394900,./results/filter/foetus/adaptive_weighted_median/3-constant-pOUcSirE.png
foetus,nonlinear,adaptive_weighted_median,5,constant,115715912100,./results/filter/foetus/adaptive_weighted_median/5-constant-cEizSbBm.png
foetus,nonlinear,adaptive_weighted_median,7,constant,126403898900,./results/filter/foetus/adaptive_weighted_median/7-constant-TZRtGjCv.png
foetus,nonlinear,adaptive_weighted_median,9,constant,137757366300,./results/filter/foetus/adaptive_weighted_median/9-constant-YlXLCpWx.png
foetus,nonlinear,adaptive_weighted_median,11,constant,153838713200,./results/filter/foetus/adaptive_weighted_median/11-constant-GuiEmKvN.png
foetus,nonlinear,adaptive_weighted_median,13,constant,174418704600,./results/filter/foetus/adaptive_weighted_median/13-constant-HUfStZRQ.png
foetus,nonlinear,adaptive_weighted_median,15,constant,189877888100,./results/filter/foetus/adaptive_weighted_median/15-constant-ikYWFvfS.png
foetus,nonlinear,truncated_median,3,constant,78833729400,./results/filter/foetus/truncated_median/3-constant-cbckkfsi.png
foetus,nonlinear,truncated_median,5,constant,84103419700,./results/filter/foetus/truncated_median/5-constant-TwEOsPMn.png
foetus,nonlinear,truncated_median,7,constant,85029347300,./results/filter/foetus/truncated_median/7-constant-hdJwYsmA.png
foetus,nonlinear,truncated_median,9,constant,82587414000,./results/filter/foetus/truncated_median/9-constant-hBGMAsOv.png
foetus,nonlinear,truncated_median,11,constant,82899423400,./results/filter/foetus/truncated_median/11-constant-IeLlkRfx.png
foetus,nonlinear,truncated_median,13,constant,79486716600,./results/filter/foetus/truncated_median/13-constant-YmcNXDqO.png
foetus,nonlinear,truncated_median,15,constant,79571207000,./results/filter/foetus/truncated_median/15-constant-FrhSVHEH.png
foetus,nonlinear,max,3,constant,6110968000,./results/filter/foetus/max/3-constant-XBcTyBrg.png
foetus,nonlinear,max,5,constant,6231419100,./results/filter/foetus/max/5-constant-CJFbZDzd.png
foetus,nonlinear,max,7,constant,6532634000,./results/filter/foetus/max/7-constant-pxZqUYte.png
foetus,nonlinear,max,9,constant,6184339100,./results/filter/foetus/max/9-constant-qLPFswFB.png
foetus,nonlinear,max,11,constant,6206227500,./results/filter/foetus/max/11-constant-xOudAogh.png
foetus,nonlinear,max,13,constant,6230200700,./results/filter/foetus/max/13-constant-vLPGOzuY.png
foetus,nonlinear,max,15,constant,6213672600,./results/filter/foetus/max/15-constant-PPxrxhgo.png
foetus,nonlinear,min,3,constant,6140963900,./results/filter/foetus/min/3-constant-EyOFGzDw.png
foetus,nonlinear,min,5,constant,6128591000,./results/filter/foetus/min/5-constant-yyJWganZ.png
foetus,nonlinear,min,7,constant,6699007400,./results/filter/foetus/min/7-constant-FbwZFdgh.png
